O001;Alaplap MSI A55M-E33 sFM2 DDR3 VGA PCIE16x1 Raid mATX;13348,97
J002;Alaplap MSI H81M-P32 s1150 H81 1xPCIE VGA mATX;13971,27
W003;Alaplap MSI H87M-E35 s1150 H87 VGA DVI HDMI mATX;24700,23
R004;Alaplap MSI H81M-E33 s1150 H81 1xPCIE VGA mATX;13276,58
V005;Alaplap MSI A88X-G43 sFM2 A88X VGA PCIE16x2 Raid ATX;23454,36
P006;Alaplap MSI Z87-G41 PC Mate s1150 Z87 ATX;28188,92
F007;Alaplap MSI Z87M-G43 s1150 Z87 HDMI Raid mATX;28912,82
Q008;Alaplap MSI Z87-G43 s1150 Z87 HDMI Raid ATX;31996,38
B009;Alaplap MSI Z87-G45 Gaming s1150 Z87 HDMI Raid ATX;42710,1
T010;Alaplap MSI 990FXA-GD80 sAM3+ 990FX Raid ATX;49168,05
A011;Alaplap MSI 990FXA-GD65 sAM3+ 990FX Raid ATX;34052,51
O012;Alaplap MSI A88XM-E35 sFM2+ A88X VGA PCIE16 mATX;16287,75
K013;Alaplap MSI B75MA-E33 s1155 DDR3 VGA PCIE mAT;15622,27
J014;Alaplap MSI H61M-P31W8 s1155 DDR3 GBE LAN mATX;10960,1
B015;Alaplap MSI H81M-P33 s1150 H81 1xPCIE VGA Matx;12785,09
T016;Alaplap MSI Z68A-GD55 (G3) s1155 2xPCIE 2xUSB3;34298,89
H017;Alaplap MSI Z77 MPOWER s1155 Z77 HDMI DP GBLAN Raid ATX;55740,3
D018;Alaplap MSI Z87-GD65 Gaming s1150 DDR3 Raid HDMI ATX;55016,4
T019;Alaplap GigaByte GA 78LMT-S2P-USB3 AMD760 AM3 DDR3 PCIE GbE mATX;14898,37
W020;Alaplap GigaByte 970A-UD3P sAM3+ DDR3 Raid PCIE ATX;24902,16
P021;Alaplap GigaByte GA H77-D3H s1155 DDR3  VGA HDMI USB3 ATX;25236,17
W022;Alaplap GigaByte GA H81-D3 s1150 H81 DDR3 LAN ATX;16201,39
Y023;Alaplap GigaByte GA H81M-DS2V s1150 H81 DDR3 LAN mATX;14043,66
Y024;Alaplap GigaByte GA H81M-DS2 s1150 H81 DDR3 LAN Matx;14043,66
A025;Alaplap GigaByte GA H81M-S2PV s1150 H81 DDR3 LAN mATX;14622,78
V026;Alaplap ASUS F2A85-M PRO FM2 A85 VGA USB3 mATX;30403,8
